Index,Estate,Division,EmpCode,Gender,DateofJoin,PAMACT,EmployeeAge
236,EST,HO,218059,F,1977-09-15,T,38.0
237,EST,HO,218463,M,1970-06-25,T,45.0
238,EST,HO,218564,F,1976-06-17,T,39.0
239,EST,HO,218766,F,1988-09-29,T,27.0
240,EST,HO,218968,F,1989-09-13,A,26.0
241,EST,HO,219069,F,1988-10-11,T,27.0
242,EST,HO,219877,F,1980-06-01,T,35.0
243,EST,HO,220180,M,1988-12-27,T,27.0
244,EST,HO,220382,F,1988-03-10,T,27.0
245,EST,HO,220483,M,1989-05-12,T,26.0
246,EST,HO,205737,M,1989-08-04,T,26.0
247,EST,HO,820120,F,2000-05-01,T,15.0
248,EST,HO,579639,M,1989-10-11,T,26.0
249,EST,HO,580346,F,1989-01-05,T,27.0
250,EST,HO,583679,F,1990-12-10,A,25.0
251,EST,HO,586204,F,1991-06-13,T,24.0
252,EST,HO,587416,F,1971-03-01,A,44.0
253,EST,HO,589840,M,1985-03-01,T,30.0
254,EST,HO,590446,M,1983-02-17,A,32.0
255,EST,HO,590648,F,1971-06-11,T,44.0
256,EST,HO,1053430,M,1975-08-01,T,40.0
257,EST,HO,1053632,M,1982-01-01,T,34.0
258,EST,HO,1083730,F,1987-06-24,T,28.0
259,EST,HO,1088881,F,1983-10-13,A,32.0
260,EST,HO,1088982,F,1997-09-01,T,18.0
261,EST,HO,1089083,F,1998-09-01,T,17.0
262,EST,HO,1089184,F,1998-09-01,A,17.0
263,EST,HO,1089285,F,,A,
264,EST,HO,1089386,M,2000-02-01,T,15.0
265,EST,HO,1090194,F,1999-03-02,T,16.0
266,EST,HO,1092113,F,1999-07-29,T,16.0
267,EST,HO,826180,F,2000-02-01,T,15.0
268,EST,HO,121604,M,2000-04-01,A,15.0
269,EST,HO,123018,M,2000-05-01,A,15.0
270,EST,HO,123422,M,2000-05-01,T,15.0
271,EST,HO,124331,M,2000-05-01,T,15.0
272,EST,HO,1058581,M,2000-05-01,T,15.0
273,EST,HO,1058682,M,2000-04-01,A,15.0
274,EST,HO,1058985,M,2000-05-01,A,15.0
